StudID1,NL,Gen,Age,Major,Rater1,Rater2,E-Rater,StudID2,Rater1,Rater2,E-Rater
A9401,Cantonese,M,23,Hospitality Business,3,4,3.722135274,B9401,4,3,4.113523831
A9402,Spanish,F,46,Packaging,3,3,2.762926736,B9402,3,3,3.223595233
A9403,Chinese,M,22,Marketing,3,4,3.189695748,B9403,3,3,2.705366401
A9404,Chinese,M,21,International Relations,3,4,3.524163451,B9404,3,4,2.673314796
A9405,Urdu,M,35,Civil Engineering,2,4,3.732691394,B9405,4,3,3.678065434
A9406,Chinese,M,33,Second Language Studies,4,4,3.623419672,B9406,3,5,4.30800092
A9407,Chinese,M,25,Biosystem Engineering,2,2,3.327276683,B9407,0,1,0.5001
A9408,Chinese,M,25,Hospitality Business,2,2,2.398153798,B9408,3,3,1.881840893
A9409,Chinese,M,22,Mechanical Engineering,4,3,4.434900985,B9409,3,4,4.402629761
A9410,Chinese,F,23,Advertising,3,4,3.947147383,B9410,4,3,3.674906972
A9411,Korean,F,31,Music,3,3,2.071207665,B9411,3,3,2.327749032
A9412,Korean,F,27,Music,3,3,2.821238861,B9412,4,3,2.981112088
A9413,Chinese,M,25,Chemistry,3,4,3.921089793,B9413,2,3,3.760871189
A9414,Turkish,F,21,Mechanical Engineering,4,4,3.707647488,B9414,5,4,4.09737856
A9415,Korean,M,29,Telecommunication Information Studies & Media,2,3,2.205174282,B9415,2,2,2.312756075
A9416,Chinese,F,22,Counseling,4,4,4.0813435,B9416,4,3,3.826688757
A9417,Chinese,F,28,Plant Breeding & Genetics,2,3,3.49558978,B9417,3,4,3.239242898
A9418,Japanese,M,33,TESOL,3,3,3.288837883,B9418,3,3,2.894879313
A9419,Chinese,F,23,Hospitality Business,3,4,3.838651188,B9419,3,4,3.971254608
A9420,Korean,F,27,Health,3,4,3.440518871,B9420,3,4,3.715978978
A9421,Chinese,F,30,Entomology,3,3,3.543532681,B9421,4,3,3.737804307
A9422,Chinese,F,22,TESOL,4,3,4.226351626,B9422,4,4,4.370689013
A9423,Chinese,M,28,Accounting,3,3,3.633363196,B9423,4,4,3.743034758
A9424,Chinese,F,24,Urban and Regional Planning,4,3,3.923375859,B9424,4,3,3.557472808
